Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
SAP HCM (Human Capital Management) (New),/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/,Yes,No,"Multi-choice test that measures the knowledge of SAP HR/ HCM structure, personnel administration, SAP HCM tasks, SAP HCM SuccessFactors solutions.",Knowledge & Skills
SAP Hybris (New),/solutions/products/product-catalog/view/sap-hybris-new/,Yes,No,"Multi-choice test that measures the knowledge of Hybris extensions, its architecture, configuration, data modelling and management, service layer programming, cockpit framework and workflows.",Knowledge & Skills
SAP Materials Management (New),/solutions/products/product-catalog/view/sap-materials-management-new/,Yes,No,"Multi-choice test that measures the knowledge of SAP materials management, organization units integration, purchasing, pricing, release procedure, contracts, inventory management, invoice verification, split valuation, account determination and integration of materials management with other modules.",Knowledge & Skills
SAP SD (Sales and Distribution) (New),/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Search Engine Optimization (New),/solutions/products/product-catalog/view/search-engine-optimization-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Selenium (New),/solutions/products/product-catalog/view/selenium-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Shell Scripting (New),/solutions/products/product-catalog/view/shell-scripting-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
SHL Verify Interactive - Inductive Reasoning,/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Yes,Yes,Approximate Completion Time in minutes = 20,"Ability & Aptitude, Simulations"
SHL Verify Interactive – Deductive Reasoning,/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,Yes,Yes,Approximate Completion Time in minutes = 20,"Ability & Aptitude, Simulations"
SHL Verify Interactive – Numerical Reasoning,/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,Yes,Yes,Approximate Completion Time in minutes = 20,"Ability & Aptitude, Simulations"
SHL Verify Interactive G+,/solutions/products/product-catalog/view/shl-verify-interactive-g/,Yes,Yes,"SHL Verify Interactive G+ (SVIG+) is a test of general cognitive ability that also generates accurate assessments of three specific abilities: Deductive Reasoning, Inductive Reasoning, and Numerical Reasoning. The candidate will see questions measuring all three abilities. Candidates will receive a score on each of the specific abilities as well as a general ability score. This test is appropriate for all job levels, however it is most relevant for positions that require cognitive ability across a range of specific skills. 
Completion time is 36 minutes for the test itself, plus 10 minutes for instructions and practice.",Ability & Aptitude
SHL Verify Interactive Numerical Calculation,/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,Yes,Yes,Approximate Completion Time in minutes = 10,Ability & Aptitude
Siebel Development (New),/solutions/products/product-catalog/view/siebel-development-new/,Yes,No,"Multi-choice test that measures the knowledge of Siebel basics, architecture server administration, access control, Siebel client and web applications, Siebel models, data mapping, workflow and deployment.",Knowledge & Skills
Smart Interview Live,/solutions/products/product-catalog/view/smart-interview-live/,Yes,No,Approximate Completion Time in minutes = Variable,Personality & Behavior
Smart Interview Live Coding,/solutions/products/product-catalog/view/smart-interview-live-coding/,Yes,No,Approximate Completion Time in minutes = Variable,Knowledge & Skills
Smart Interview On Demand,/solutions/products/product-catalog/view/smart-interview-on-demand/,Yes,No,Approximate Completion Time in minutes = Variable,Personality & Behavior
Social Media (New),/solutions/products/product-catalog/view/social-media-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Software Business Analysis,/solutions/products/product-catalog/view/software-business-analysis/,Yes,Yes,"The Software Business Analysis test measures ability to acquire and understand business requirements for an IT project, develop technical assets in support of that project, and execute such a project in an optimal strategic manner. Designed for senior-level technical professionals, this test covers the following topics: Business Process, Diagramming and Modeling, Documentation, Joint Application Development, Methodologies and Tools, Project Development, Requirements Gathering, System Design, and User Interface.",Knowledge & Skills
SonarQube (New),/solutions/products/product-catalog/view/sonarqube-new/,Yes,No,Approximate Completion Time in minutes = TBC,Knowledge & Skills
Spelling (U.S.) (New),/solutions/products/product-catalog/view/spelling-u-s-new/,Yes,No,Approximate Completion Time in minutes = 0,Knowledge & Skills
Split Screen Typing Test - Form 1,/solutions/products/product-catalog/view/split-screen-typing-test-form-1/,Yes,No,"This test measures speed and accuracy in typing text presented on the computer screen. In this assessment, the text original is displayed directly above the area in which the test taker must enter the response. The test taker will not need a printed original for the evaluation. This test calculates a score based on the total number of keystrokes, time taken, and number of errors made when typing six passages. This Split Screen Typing Test uses the following method to determine the Net Words Per Minute score: Net Words Per Minute = ((Gross Words Per Minute * Time Taken) - Total Errors) / Time Taken.","Ability & Aptitude, Knowledge & Skills"
Spring (New),/solutions/products/product-catalog/view/spring-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
SQL (New),/solutions/products/product-catalog/view/sql-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
SQL Server (New),/solutions/products/product-catalog/view/sql-server-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
SQL Server Analysis Services (SSAS) (New),/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
SQL Server Integration Services (SSIS) (New),/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/,Yes,No,"Multi-choice test that measures the knowledge of SSIS architecture, components, control flow, data flow, transformation, SQL server tasks, SSIS administration, debugging, logging, security deployment, performance, package scheduling, execution and configuration.",Knowledge & Skills
SQL Server Reporting Services (SSRS) (New),/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Statistical Analysis System (New),/solutions/products/product-catalog/view/statistical-analysis-system-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Struts (New),/solutions/products/product-catalog/view/struts-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
SVAR - Spoken English (AUS),/solutions/products/product-catalog/view/svar-spoken-english-aus/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken English (Indian Accent)  (New),/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken English (U.K.),/solutions/products/product-catalog/view/svar-spoken-english-u-k/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken English (US)  (New),/solutions/products/product-catalog/view/svar-spoken-english-us-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken French (Canadian) (New),/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken French (European) (New),/solutions/products/product-catalog/view/svar-spoken-french-european-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken Spanish (Castilian) (New),/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
SVAR - Spoken Spanish (North American) (New),/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/,Yes,No,Approximate Completion Time in minutes = -,Simulations
Swing (New),/solutions/products/product-catalog/view/swing-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
Tableau (New),/solutions/products/product-catalog/view/tableau-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Telecommunications Engineering (New),/solutions/products/product-catalog/view/telecommunications-engineering-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Teradata Development (New),/solutions/products/product-catalog/view/teradata-development-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Time Management (U.S.),/solutions/products/product-catalog/view/time-management-u-s/,Yes,Yes,Approximate Completion Time in minutes = 15 to 35,Knowledge & Skills
Training Development,/solutions/products/product-catalog/view/training-development/,Yes,Yes,Approximate Completion Time in minutes = 15 to 35,Knowledge & Skills
Typing (New),/solutions/products/product-catalog/view/typing-new/,Yes,No,Approximate Completion Time in minutes = 2,Simulations
UiPath RPA Development (New),/solutions/products/product-catalog/view/uipath-rpa-development-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Universal Competency Framework Interview Guide,/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,Yes,No,N/A,"Competencies, Personality & Behavior"
Universal Competency Framework Job profiling guide,/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,Yes,No,Approximate Completion Time in minutes = Untimed,"Competencies, Personality & Behavior"
Universal Competency Framework Profiler Cards (44),/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,Yes,No,Approximate Completion Time in minutes = Untimed,"Competencies, Personality & Behavior"
UNIX (New),/solutions/products/product-catalog/view/unix-new/,Yes,No,"Multi-choice test that measures the knowledge on the concepts of UNIX commands, file system, file handling, regular expression, awk programming and shell programming.",Knowledge & Skills
VB.NET (New),/solutions/products/product-catalog/view/vb-net-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Verify - Deductive Reasoning,/solutions/products/product-catalog/view/verify-deductive-reasoning/,Yes,Yes,"The Verify Deductive Reasoning Test is an online ability assessment that can be used to support both pre- and post-hire assessment processes. It enables organisations to recruit and develop candidates applying for jobs at all levels that require deductive reasoning ability.

The Deductive Reasoning Test is a new test in the SHL Verify range of ability tests, and measures the ability to:
•	draw logical conclusions based on information provided
•	identify strengths and weaknesses of arguments
•	complete scenarios using incomplete information

The test is 18 minutes long, has 20 items and is designed to provide an indication of how an individual will perform when asked to develop solutions when presented with information and draw sound conclusions from data.  

This form of reasoning is commonly required to support work and decision-making in many different types of jobs and at many levels. Sample tasks for jobs that may require deductive reasoning include, but are not limited to:
•	evaluate arguments
•	analyse scenarios
•	draw logical conclusions",Ability & Aptitude
Verify - Following Instructions,/solutions/products/product-catalog/view/verify-following-instructions/,Yes,No,Approximate Completion Time in minutes = 8,Ability & Aptitude
Verify - G+,/solutions/products/product-catalog/view/verify-g/,Yes,Yes,Approximate Completion Time in minutes = 36,Ability & Aptitude
Verify - General Ability Screen,/solutions/products/product-catalog/view/verify-general-ability-screen/,Yes,Yes,Approximate Completion Time in minutes = 10,Ability & Aptitude
Verify - Inductive Reasoning (2014),/solutions/products/product-catalog/view/verify-inductive-reasoning-2014/,Yes,Yes,Approximate Completion Time in minutes = 24,Ability & Aptitude
Verify - Numerical Ability,/solutions/products/product-catalog/view/verify-numerical-ability/,Yes,Yes,"The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the Global Cognitive Index – Adaptive Quantitative test, and measures the ability to:
•	Derive the numerical problem from a written problem
•	Calculate the answer to numerical equations
•	Work with numerical data in a realistic workplace context

The test is 20 minutes long, has 16 items and is designed to provide an indication of how an individual will perform when asked to work with numerical information or statistical details.",Ability & Aptitude
Verify - Technical Checking - Next Generation,/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,Yes,No,"The Technical Checking assessment is part of the Verify suite of cognitive ability assessments. Technical Checking measures perceptual speed and accuracy. This assessment requires examinees to quickly and accurately match symbols and switches based on a given set of rules. The Technical Checking assessment is mostly non-verbal and features shapes and figures. As with all assessments included in the Verify suite, the Technical Checking assessment allows organizations to assess this aspect of cognitive ability in an unproctored setting. This assessment is appropriate for all job levels and job titles, but is especially relevant for jobs that require the ability to quickly assess the accuracy of information against a set of rules.",Ability & Aptitude
Verify - Verbal Ability - Next Generation,/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,Yes,Yes,Approximate Completion Time in minutes = 15 minutes,Ability & Aptitude
Verify - Working with Information,/solutions/products/product-catalog/view/verify-working-with-information/,Yes,No,Approximate Completion Time in minutes = 10,Ability & Aptitude
Verify G+ - Ability Test Report,/solutions/products/product-catalog/view/verify-g-ability-test-report/,Yes,No,N/A,Ability & Aptitude
Verify G+ - Candidate Report,/solutions/products/product-catalog/view/verify-g-candidate-report/,Yes,No,N/A,Ability & Aptitude
Verify Interactive Ability Report,/solutions/products/product-catalog/view/verify-interactive-ability-report/,Yes,No,N/A,Ability & Aptitude
Verify Interactive G+ Candidate Report,/solutions/products/product-catalog/view/verify-interactive-g-candidate-report/,Yes,No,N/A,Ability & Aptitude
Verify Interactive G+ Report,/solutions/products/product-catalog/view/verify-interactive-g-report/,Yes,No,N/A,Ability & Aptitude
OPQ Profile Report,/solutions/products/product-catalog/view/opq-profile-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Group Development Report,/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Individual Development Report,/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Selection Report,/solutions/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Types & Leadership Styles Profile,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,N/A,Personality & Behavior
OPQ Team Types and Leadership Styles Report,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,N/A,Personality & Behavior
OPQ UCF Development Action Planner Report 1.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,N/A,Personality & Behavior
OPQ UCF Development Action Planner Report 2.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ Universal Competency Report 1.0,/solutions/products/product-catalog/view/opq-universal-competency-report/,Yes,No,N/A,Personality & Behavior
OPQ Universal Competency Report 2.0,/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ User and Managers Report,/solutions/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,N/A,Personality & Behavior
OPQ User Report,/solutions/products/product-catalog/view/opq-user-report/,Yes,No,N/A,"Personality & Behavior, Simulations"
Written English v1,/solutions/products/product-catalog/view/written-english-v1/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
Written Spanish,/solutions/products/product-catalog/view/written-spanish/,Yes,Yes,Approximate Completion Time in minutes = 22,Knowledge & Skills
Zabbix (New),/solutions/products/product-catalog/view/zabbix-new/,Yes,No,"Multi-choice test that measures the knowledge of Zabbix architecture, data handling, monitoring and administration.",Knowledge & Skills
360 Digital Report,/solutions/products/product-catalog/view/360-digital-report/,Yes,No,N/A,Development & 360
360° Multi-Rater Feedback System (MFS),/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,Yes,No,Approximate Completion Time in minutes = Untimed,"Development & 360, Personality & Behavior"
